"file","group","title","artist","date","license","license_url","source_page","original_dimensions"
"01-suprematism/01-Black-circle.jpg","01-suprematism","Black circle","Kazimir Malevich","motive 1915 / painted 1924","Public domain","","https://commons.wikimedia.org/wiki/File:Black_circle.jpg","550x543"
"01-suprematism/02-Black-Square.jpg","01-suprematism","Black Square","Kazimir Malevich","1924 date QS:P571,+1924-00-00T00:00:00Z/9","Public domain","","https://commons.wikimedia.org/wiki/File:Black_Square.jpg","709x700"
"01-suprematism/03-Chashnik-Suprematism.jpg","01-suprematism","Chashnik Suprematism","Ilya Chashnik","1923","Public domain","","https://commons.wikimedia.org/wiki/File:Chashnik_Suprematism.jpg","2243x3176"
"01-suprematism/04-Ilya-chashnik-suprematismo-1924-25.jpg","01-suprematism","Ilya chashnik, suprematismo, 1924-25","Ilya Chashnik","between 1924 and 1925 date QS:P,+1924-00-00T00:00:00Z/8,P1319,+1924-00-00T00:00:00Z/9,P1326,+1925-00-00T00:00:00Z/9","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","https://commons.wikimedia.org/wiki/File:Ilya_chashnik,_suprematismo,_1924-25.JPG","2428x1560"
"01-suprematism/05-1924-25-Chashnik-Suprematismus-anagoria.jpg","01-suprematism","1924-25 Chashnik Suprematismus anagoria","Ilya Chashnik","between 1924 and 1925 date QS:P,+1924-00-00T00:00:00Z/8,P1319,+1924-00-00T00:00:00Z/9,P1326,+1925-00-00T00:00:00Z/9","Public domain","","https://commons.wikimedia.org/wiki/File:1924-25_Chashnik_Suprematismus_anagoria.JPG","3480x2224"
"01-suprematism/06-Kazimir-Malevich-1915-Black-Suprematic-Square-oil-on-linen-canvas-79.5-x-79.5-cm-Tretyakov.jpg","01-suprematism","Kazimir Malevich, 1915, Black Suprematic Square, oil on linen canvas, 79.5 x 79.5 cm, Tretyakov Gallery, Moscow","Kazimir Malevich","1915 date QS:P571,+1915-00-00T00:00:00Z/9","Public domain","","https://commons.wikimedia.org/wiki/File:Kazimir_Malevich,_1915,_Black_Suprematic_Square,_oil_on_linen_canvas,_79.5_x_79.5_cm,_Tretyakov_Gallery,_Moscow.jpg","1718x1718"
"01-suprematism/07-David-Yakerson-1920-Suprematism-composition.jpg","01-suprematism","David Yakerson 1920 Suprematism composition","David Yakerson","1920","Public domain","","https://commons.wikimedia.org/wiki/File:David_Yakerson_1920_Suprematism_composition.jpg","580x642"
"01-suprematism/08-David-Yakerson-1920-Suprematism.jpg","01-suprematism","David Yakerson 1920 Suprematism","David Yakerson","1920","Public domain","","https://commons.wikimedia.org/wiki/File:David_Yakerson_1920_Suprematism.jpg","580x772"
"01-suprematism/09-Dynamic-Suprematism-Malevich-1916.jpg","01-suprematism","Dynamic Suprematism (Malevich, 1916)","Kazimir Malevich","1916 date QS:P571,+1916-00-00T00:00:00Z/9","Public domain","","https://commons.wikimedia.org/wiki/File:Dynamic_Suprematism_(Malevich,_1916).jpg","1536x1522"
"01-suprematism/10-Bespredmetnoe-tvorchestvo-i-suprematizm-1919.jpg","01-suprematism","Bespredmetnoe tvorchestvo i suprematizm 1919","Unknown author Unknown author","1919","Public domain","","https://commons.wikimedia.org/wiki/File:Bespredmetnoe_tvorchestvo_i_suprematizm_1919.jpg","539x804"
"01-suprematism/11-Ilya-Chashnik-Suprematism-1920.jpg","01-suprematism","Ilya Chashnik - Suprematism, 1920","Ilya Chashnik","1920","Public domain","","https://commons.wikimedia.org/wiki/File:Ilya_Chashnik_-_Suprematism,_1920.jpg","553x399"
"01-suprematism/12-Alexander-Drewin-Suprematism-formerly-Abstraction-1941.445-Yale-University-Art-Gallery.jpg","01-suprematism","Alexander Drewin - Suprematism (formerly) Abstraction - 1941.445 - Yale University Art Gallery","Aleksandr Drevin","1921","Public domain","","https://commons.wikimedia.org/wiki/File:Alexander_Drewin_-_Suprematism_(formerly)_Abstraction_-_1941.445_-_Yale_University_Art_Gallery.jpg","1526x1920"
"01-suprematism/13-Composition-1917-Liubova-Popova-1889-1924-45056449312.jpg","01-suprematism","Composition (1917) - Liubova Popova (1889-1924) (45056449312)","Pedro Ribeiro Simões from Lisboa, Portugal","2015-12-12 16:25","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","https://commons.wikimedia.org/wiki/File:Composition_(1917)_-_Liubova_Popova_(1889-1924)_(45056449312).jpg","1239x1927"
"01-suprematism/14-Composition-3-t-Suprematism-Circle-Among-Rectangles-and-Triangles-Kazimir-Malevich-1920.jpg","01-suprematism","Composition 3 t (Suprematism, Circle Among Rectangles and Triangles) (Kazimir Malevich, 1920?)","Kazimir Malevich","2006-07-12 11:52:00","Public domain","","https://commons.wikimedia.org/wiki/File:Composition_3_t_(Suprematism,_Circle_Among_Rectangles_and_Triangles)_(Kazimir_Malevich,_1920%3F).jpg","480x326"
"01-suprematism/15-Alexandra-Ekster-Non-Objective-Composition.jpg","01-suprematism","Alexandra Ekster - Non-Objective Composition","Aleksandra Ekster","1917 date QS:P571,+1917-00-00T00:00:00Z/9","Public domain","","https://commons.wikimedia.org/wiki/File:Alexandra_Ekster_-_Non-Objective_Composition.jpg","967x1200"
"01-suprematism/16-Dynamic-Suprematism-Kazimir-Malevich-191718.jpg","01-suprematism","Dynamic Suprematism (Kazimir Malevich, 1917–18)","Kazimir Malevich","2006-07-12","Public domain","","https://commons.wikimedia.org/wiki/File:Dynamic_Suprematism_(Kazimir_Malevich,_1917%E2%80%9318).jpg","369x480"
"01-suprematism/17-Boris-Lopatin-Futurism-Suprematism-Petrogradskiy-listok-December-1915.jpg","01-suprematism","Boris Lopatin, Futurism – Suprematism, Petrogradskiy listok, December 1915","Boris Lopatin (life dates unknown) (text)","December 1915","Public domain","","https://commons.wikimedia.org/wiki/File:Boris_Lopatin,_Futurism_%E2%80%93_Suprematism,_Petrogradskiy_listok,_December_1915.jpg","3195x5654"
"01-suprematism/18-Ivan-Kliun-Suprematism-1915.jpg","01-suprematism","Ivan Kliun, Suprematism, 1915","Ivan Kliun","1915","Public domain","","https://commons.wikimedia.org/wiki/File:Ivan_Kliun,_Suprematism,_1915.jpg","979x1200"
"01-suprematism/19-Ivan-Kliun-Suprematism-1915-2.jpg","01-suprematism","Ivan Kliun, Suprematism, 1915 (2)","Ivan Kliun","1915","Public domain","","https://commons.wikimedia.org/wiki/File:Ivan_Kliun,_Suprematism,_1915_(2).jpg","2244x2916"
"01-suprematism/20-Ivan-Kliun-Suprematism-1915-3.jpg","01-suprematism","Ivan Kliun, Suprematism, 1915 (3)","Ivan Kliun","between 1915 and 1916 date QS:P,+1915-00-00T00:00:00Z/8,P1319,+1915-00-00T00:00:00Z/9,P1326,+1916-00-00T00:00:00Z/9 / 1915","Public domain","","https://commons.wikimedia.org/wiki/File:Ivan_Kliun,_Suprematism,_1915_(3).jpg","2297x2900"
"01-suprematism/21-Ivan-Klyun-Suprematism-late-1910s.jpg","01-suprematism","Ivan Klyun, Suprematism, late 1910s","Ivan Kliun","late 1910s","Public domain","","https://commons.wikimedia.org/wiki/File:Ivan_Klyun,_Suprematism,_late_1910s.jpg","3024x3629"
"01-suprematism/22-Ivan-Kliun-Suprematism-1916.jpg","01-suprematism","Ivan Kliun, Suprematism, 1916","Ivan Kliun","1916","Public domain","","https://commons.wikimedia.org/wiki/File:Ivan_Kliun,_Suprematism,_1916.jpg","2000x1362"
"01-suprematism/23-Ivanovo-art-museum-Kazimir-Malevich-Suprematism.jpg","01-suprematism","Ivanovo art museum - Kazimir Malevich - Suprematism","Автор не указан","1915","Public domain","","https://commons.wikimedia.org/wiki/File:Ivanovo_art_museum_-_Kazimir_Malevich_-_Suprematism.jpg","2802x2792"
"01-suprematism/24-Ivanovo-art-museum-Alexander-Rodchenko-A-non-objective-composition.jpg","01-suprematism","Ivanovo art museum - Alexander Rodchenko - A non-objective composition","Автор не указан","1917","Public domain","","https://commons.wikimedia.org/wiki/File:Ivanovo_art_museum_-_Alexander_Rodchenko_-_A_non-objective_composition.jpg","2534x3588"
"01-suprematism/25-Black-and-White.-Suprematist-Composition-Malevich-1915.png","01-suprematism","Black and White. Suprematist Composition (Malevich, 1915)","Kazimir Malevich","1915 date QS:P571,+1915-00-00T00:00:00Z/9","Public domain","","https://commons.wikimedia.org/wiki/File:Black_and_White._Suprematist_Composition_(Malevich,_1915).png","788x800"
"01-suprematism/26-GUGG-Untitled-Suprematist-Composition-Malevich-a.jpg","01-suprematism","GUGG Untitled (Suprematist Composition, Malevich a)","Kazimir Malevich","circa 1919 date QS:P571,+1919-00-00T00:00:00Z/9,P1480,Q5727902 -26","Public domain","","https://commons.wikimedia.org/wiki/File:GUGG_Untitled_(Suprematist_Composition,_Malevich_a).jpg","2441x3000"
"01-suprematism/27-GUGG-Untitled-Suprematist-Composition-Malevich-b.jpg","01-suprematism","GUGG Untitled (Suprematist Composition, Malevich b)","Kazimir Malevich","circa 1919 date QS:P571,+1919-00-00T00:00:00Z/9,P1480,Q5727902 -26","Public domain","","https://commons.wikimedia.org/wiki/File:GUGG_Untitled_(Suprematist_Composition,_Malevich_b).jpg","2428x3000"
"01-suprematism/28-Ilya-Chashnik-Suprematist-Composition-8.jpg","01-suprematism","Ilya Chashnik - Suprematist Composition - 8","Ilya Chashnik","until 1929 date QS:P,+1929-00-00T00:00:00Z/7,P582,+1929-00-00T00:00:00Z/9","Public domain","","https://commons.wikimedia.org/wiki/File:Ilya_Chashnik_-_Suprematist_Composition_-_8.jpg","714x512"
"01-suprematism/29-Ilya-Chashnik-Suprematist-Composition-1922.jpg","01-suprematism","Ilya Chashnik - Suprematist Composition, 1922","Ilya Chashnik","circa 1922 date QS:P,+1922-00-00T00:00:00Z/9,P1480,Q5727902","Public domain","","https://commons.wikimedia.org/wiki/File:Ilya_Chashnik_-_Suprematist_Composition,_1922.jpg","1280x694"
"01-suprematism/30-Amsterdam-Stedelijk-Museum-Kazimir-Malevich-1878-1935-Suprematist-Composition-with-Yellow.jpg","01-suprematism","Amsterdam - Stedelijk Museum - Kazimir Malevich (1878-1935) - Suprematist Composition (with Yellow, Orange and Green Rectangle) (A 7675) 1915-16","Txllxt TxllxT","2018-09-01 16:41:39","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://commons.wikimedia.org/wiki/File:Amsterdam_-_Stedelijk_Museum_-_Kazimir_Malevich_(1878-1935)_-_Suprematist_Composition_(with_Yellow,_Orange_and_Green_Rectangle)_(A_7675)_1915-16.jpg","1189x1471"
"01-suprematism/31-Amsterdam-Stedelijk-Museum-Kazimir-Malevich-1878-1935-Suprematist-Composition-with-blue-tr.jpg","01-suprematism","Amsterdam - Stedelijk Museum - Kazimir Malevich (1878-1935) - Suprematist Composition (with blue triangle and black rectangle) (A 7671) 1915","Txllxt TxllxT","2018-09-01 16:41:47","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://commons.wikimedia.org/wiki/File:Amsterdam_-_Stedelijk_Museum_-_Kazimir_Malevich_(1878-1935)_-_Suprematist_Composition_(with_blue_triangle_and_black_rectangle)_(A_7671)_1915.jpg","498x566"
"01-suprematism/32-Composition-9-b-Kazimir-Malevich-1920.jpg","01-suprematism","Composition 9 b (Kazimir Malevich, 1920?)","Kazimir Malevich","2006-07-12 14:11:17","Public domain","","https://commons.wikimedia.org/wiki/File:Composition_9_b_(Kazimir_Malevich,_1920%3F).jpg","480x377"
"01-suprematism/33-Composition-3-t-Kazimir-Malevich-1916.jpg","01-suprematism","Composition 3 t (Kazimir Malevich, 1916)","Kazimir Malevich","2006-09-20 10:18:45","Public domain","","https://commons.wikimedia.org/wiki/File:Composition_3_t_(Kazimir_Malevich,_1916).jpg","480x310"
"01-suprematism/34-Composition-6-t-Kazimir-Malevich-1916.jpg","01-suprematism","Composition 6 t (Kazimir Malevich, 1916)","Kazimir Malevich","2006-07-12 13:18:33","Public domain","","https://commons.wikimedia.org/wiki/File:Composition_6_t_(Kazimir_Malevich,_1916).jpg","351x480"
"01-suprematism/35-Composition-1-z-Kazimir-Malevich-1920s.jpg","01-suprematism","Composition 1 z (Kazimir Malevich, 1920s)","Kazimir Malevich","2006-07-14 14:37:04","Public domain","","https://commons.wikimedia.org/wiki/File:Composition_1_z_(Kazimir_Malevich,_1920s).jpg","480x400"
"01-suprematism/36-Composition-9-k-Kazimir-Malevich-1915.jpg","01-suprematism","Composition 9 k (Kazimir Malevich, 1915)","Kazimir Malevich","2006-07-12 12:59:45","Public domain","","https://commons.wikimedia.org/wiki/File:Composition_9_k_(Kazimir_Malevich,_1915).jpg","409x480"
"01-suprematism/37-Composition-6-d-Kazimir-Malevich.jpg","01-suprematism","Composition 6 d (Kazimir Malevich)","Kazimir Malevich","2006-07-12 11:49:35","Public domain","","https://commons.wikimedia.org/wiki/File:Composition_6_d_(Kazimir_Malevich).jpg","355x480"
"01-suprematism/38-Composition-15-q-Supremus-no.-118-Kazimir-Malevich-autumn-1918.jpg","01-suprematism","Composition 15 q (Supremus no. 118) (Kazimir Malevich, autumn 1918)","Kazimir Malevich","2006-07-12 13:10:00","Public domain","","https://commons.wikimedia.org/wiki/File:Composition_15_q_(Supremus_no._118)_(Kazimir_Malevich,_autumn_1918).jpg","342x480"
"01-suprematism/39-Composition-3-e.jpg","01-suprematism","Composition 3 e","Kazimir Malevich","1915","Public domain","","https://commons.wikimedia.org/wiki/File:Composition_3_e.jpg","663x988"
"01-suprematism/40-Composition-1-e-Kazimir-Malevich-summer-1915.jpg","01-suprematism","Composition 1 e (Kazimir Malevich, summer 1915)","Kazimir Malevich","2006-07-12 13:22:08","Public domain","","https://commons.wikimedia.org/wiki/File:Composition_1_e_(Kazimir_Malevich,_summer_1915).jpg","480x347"
"02-abstraction/01-Hilma-af-Klint-1920-Buddhas-Standpoint-in-the-Earthly-Life-No-3a.jpg","02-abstraction","Hilma af Klint - 1920 - Buddha's Standpoint in the Earthly Life - No 3a","Hilma af Klint","1920","Public domain","","https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_-_1920_-_Buddha%27s_Standpoint_in_the_Earthly_Life_-_No_3a.jpg","2533x3307"
"02-abstraction/02-Hilma-af-Klint-no-date-Untitled.jpg","02-abstraction","Hilma af Klint - no date - Untitled","Hilma af Klint","Unknown date","Public domain","","https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_-_no_date_-_Untitled.jpg","3307x2522"
"02-abstraction/03-Hilma-af-Klint-1920-Series-VII-No-7d.jpg","02-abstraction","Hilma af Klint - 1920 - Series VII, No 7d","Hilma af Klint","1920","Public domain","","https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_-_1920_-_Series_VII,_No_7d.jpg","370x480"
"02-abstraction/04-Hilma-af-Klint-1922-Wheat-and-Wormwood.jpg","02-abstraction","Hilma af Klint - 1922 - Wheat and Wormwood","Hilma af Klint","1922","Public domain","","https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_-_1922_-_Wheat_and_Wormwood.jpg","1473x1029"
"02-abstraction/05-Hilma-af-Klint-no-date-Untitled-02.jpg","02-abstraction","Hilma af Klint - no date - Untitled 02","Hilma af Klint","Unknown date","Public domain","","https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_-_no_date_-_Untitled_02.jpg","1072x1600"
"02-abstraction/06-Hilma-af-Klint-no-date-Untitled-03.jpg","02-abstraction","Hilma af Klint - no date - Untitled 03","Hilma af Klint","1920","Public domain","","https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_-_no_date_-_Untitled_03.jpg","380x500"
"02-abstraction/07-Hilma-af-Klint-no-date-Untitled-05.jpg","02-abstraction","Hilma af Klint - no date - Untitled 05","Hilma af Klint","Unknown date","Public domain","","https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_-_no_date_-_Untitled_05.jpg","1052x1600"
"02-abstraction/08-Hilma-af-Klint-1890s-Untitled.jpg","02-abstraction","Hilma af Klint - 1890s - Untitled","Hilma af Klint","between 1890 and 1899 date QS:P,+1890-00-00T00:00:00Z/8,P1319,+1890-00-00T00:00:00Z/9,P1326,+1899-00-00T00:00:00Z/9","Public domain","","https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_-_1890s_-_Untitled.jpg","550x883"
"02-abstraction/09-Hilma-af-Klint-1916-No-62-group-X-Series-Parsifal.jpg","02-abstraction","Hilma af Klint - 1916 - No 62 - group X - Series Parsifal","Hilma af Klint","2015-02-19 21:10:30","Public domain","","https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_-_1916_-_No_62_-_group_X_-_Series_Parsifal.jpg","500x537"
"02-abstraction/10-Hilma-af-Klint-1920-Oats-A-Work-on-Cereals.jpg","02-abstraction","Hilma af Klint - 1920 - Oats, A Work on Cereals","Hilma af Klint","2015-02-19 21:10:33","Public domain","","https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_-_1920_-_Oats,_A_Work_on_Cereals.jpg","550x678"
"02-abstraction/11-Hilma-af-Klint-1916-No-1-From-The-Parsifal-Series.jpg","02-abstraction","Hilma af Klint - 1916 - No 1 From The Parsifal Series","Hilma af Klint","2013-05-24 16:16:14","Public domain","","https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_-_1916_-_No_1_From_The_Parsifal_Series.jpg","3314x3314"
"02-abstraction/12-Hilma-af-Klint-1922-Birch.jpg","02-abstraction","Hilma af Klint - 1922 - Birch","Hilma af Klint","1922","Public domain","","https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_-_1922_-_Birch.jpg","3095x2162"
